time,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1964-07-01,7.485147,4.73133,6.2570834,6.7359405,6.7210813,6.5322905,5.9708047,8.322216,6.280655,5.258806,6.28464,5.2659307
1964-08-01,5.9496264,5.286207,6.8364997,6.9673433,7.161968,8.409128,5.902877,8.023654,4.6746564,4.960482,6.4596434,5.8411665
1964-09-01,5.733831,3.323334,5.067869,6.5326014,6.368216,6.764719,7.028149,14.179285,3.3348572,3.4212732,6.0941186,4.499531
1964-10-01,6.759862,3.891391,4.03229,5.495211,4.069301,4.486819,6.3104286,17.163454,2.8993793,3.103224,5.462523,3.143647
1964-11-01,6.0898685,3.3733284,3.5319026,5.7944884,3.3395004,4.0263534,5.816497,13.591481,2.7032979,3.0768507,4.5434318,2.6608078
1964-12-01,8.064411,3.634729,2.3790467,5.8198204,3.6532795,3.0709193,3.6656108,10.214566,2.6713343,1.8495923,5.038232,2.1716042
1965-01-01,4.9001245,4.060312,2.420733,4.5036306,2.322037,3.6038883,4.9390364,12.891188,2.7018049,1.9799265,4.328001,2.2693245
1965-02-01,6.727194,3.5093489,3.2708983,6.315494,3.9048884,3.4646094,5.9240046,15.552857,2.8904378,2.6890757,5.2455316,1.8654804
1965-03-01,4.2889376,2.8731549,2.2728932,3.895529,3.3389378,3.1146812,3.537102,6.2828655,3.0706334,2.4018059,3.2546232,2.1957572
1965-04-01,5.4194026,3.1707647,2.921523,4.801563,3.1918182,2.6709614,4.6204343,8.978982,3.099691,2.4388847,3.5179133,2.416656
1965-05-01,5.0102167,3.6159952,5.9892707,5.8377056,6.8420463,5.367256,5.3790755,9.553155,2.9252439,3.151579,4.7526126,3.0694149
1965-06-01,5.253709,3.9018767,6.912583,5.6387453,6.5217776,6.248025,5.1315026,6.583922,4.2229652,5.337462,6.24532,5.5646577
